author_id,author_name,affiliation_full_name,city,affiliation,affiliation_id
57189988467,"Bakour, Meryem","Laboratory of Natural Substances, Pharmacology, Environment, Modeling, Health and Quality of Life, Faculty of Sciences Dhar El Mahraz, University Sidi Mohamed Ben Abdellah, Fez, Morocco",Fès,faculty of sciences dhar el mahraz,153
36894680000,"Hammas, Nawal"," Laboratory of Biomedical and Translational Research, Faculty of Medicine and Pharmacy, University Sidi Mohamed Ben Abdellah, Fez, 30000, Morocco",Fès,university sidi mohamed ben abdellah,148
57214753232,"Laaroussi, Hassan"," Department of Pathology, University Hospital Hassan II, Fez, 30000, Morocco",Fès,,
57212410133,"Azouaoui, A","Faculté des sciences Dhar Mahraz, Laboratoire de Physique du Solide, Université Sidi Mohammed Ben Abdellah, Fes, Morocco",Fès,faculte des sciences,153
57213172474,"haoua, M"," ENSA, Université Abdelmalek Essaadi Tétouan, Alhoceima, Morocco",Tétouan,ensa,13
57224986713,"Hamdani, I"," Ecole Normale Supérieure, Fes, Morocco",Fès,ecole normale superieure,159
57225110688,"Kassri, Nadia","National Institute of Posts and Telecommunications, Rabat, Morocco",Rabat,,
6506721424,"Ennouaary, Abdeslam"," Mohammadia School of Engineers, Rabat, Morocco",Rabat,,
56531791700,"Bah, Slimane"," Faculty of Science and Technology, Settat, Morocco",Settat,faculty of science and technology,47
57226519673,"Elmisaoui, Sanae","Mohammed VI Polytechnic University, Benguerir, Morocco",,,
55986979800,"Khamar, Lhachmi"," L3GIE, EMI, Mohammed V University, Rabat, Morocco",Rabat,emi,128
7801555621,"Salouhi, Mohamed"," LIPIM, National School of Applied Sciences in Khouribga, Sultan Moulay Slimane University, Beni Mellal, Morocco",Béni Mellal,national school of applied sciences,169
8262334600,"Ismaili, Rachid","Hassan First University, Settat, Morocco",Settat,hassan 1 university,43
57219292024,"Loukili, Leila"," Fondation Lalla Salma Prevention and Treatment of Cancers, Rabat, Morocco",Rabat,,
57219292594,"Mimouni, Hind"," Research Department, High Institute of Nursing Professions and Technical Health, Rabat, Morocco",Rabat,,
56771427000,"Boua, Hamid","Mohammed First University, Pluridisciplinary Faculty of Nador, Nador, Morocco",Nador,,
56429496600,"Karmouni, Mohammed"," Cadi Ayyad University, Multidisciplinary Faculty, Safi, Morocco",Safi,multidisciplinary faculty,24
57225026030,"Alla, Hajar","Laboratory of Mathematics Computer and Engineering Sciences, Mathematics and Computer Science Department, Faculty of Science and Techniques, Hassan First University of Settat, Settat, Morocco",Settat,faculty of science and techniques,47
57222369094,"Ghassemi, Masoomeh"," Laboratory of Information Processing, Faculty of Science Ben M’Sik, University Hassan II, Casablanca, Morocco",Casablanca,university hassan 2,53
57225102615,"Nia, Sara","Laboratory for Agricultural Productions Improvement Biotechnology and Environment (LAPABE), University Mohammed the 1st, Oujda, Morocco",Oujda,,
6504779918,"Addi, Mohamed"," In vitro Culture Laboratory, Department of Basic Sciences, National School of Agriculture, Meknes, Morocco",Meknès,,
57217030151,"Ouchra, Hafsa","Laboratory of Information Technology and Modeling LTIM, Hassan II University, Faculty of sciences Ben M’sik, Casablanca, Morocco",Casablanca,hassan 2 university,53
57209231319,"Eddine, Mohamed","Research Team Amips, Mohammed v University in Rabat, Ecole Mohammadia d'Ing nieurs, Avenue Ibn Sina B.P 765, Agdal, Rabat, 10090, Morocco",Rabat,mohammed 5 university,120
55391395500,"Saikouk, Tarik"," International University of Rabat, Rabat Business School, BEAR Lab, Technopolis Shore, Rocade 11100, Sala Al Jadida, 11103, Morocco",Rabat,,
57221599675,"Ahouar, W","Engineering for Smart and Sustainable Systems Research Center, Mohammadia School of Engineers, Mohammed V University in Rabat, Morocco",Rabat,mohammed 5 university,120
57211514112,"Bousselamti, L"," Applied Mathematics and Information Systems Laboratory, EST of Nador, Mohammed First University, Oujda, Morocco",Oujda,est,118
57221783760,"Ftaimi, Asmaa","Laboratory of Advanced Systems Engineering, Ibn Tofail Science University, Kenitra, Morocco",Kénitra,,
57222071239,"Nasla, S","Team of Modelling and Simulating in Mechanics and Energetics Energy Research Centre Faculty of Sciences Mohamed V. University, B.P. 1014, Rabat, Morocco",Rabat,faculty of sciences,125
55927932300,"Gueraoui, K"," Team of the Field of Mechanical and Materials Energy Research Centre Faculty of Sciences Mohamed V. University, B.P. 1014, Rabat, Morocco",Rabat,faculty of sciences,125
35208175500,"Cherraj, M"," Team of the Field of Thermodynamics and Energetics Energy Research Centre Faculty of Sciences Mohamed V. University, B.P. 1014, Rabat, Morocco",Rabat,faculty of sciences,125
57201677297,"Dahir, Sarah","Moulay Ismail University, Meknes, Morocco",Meknès,moulay ismail university,137
56641699400,"Qadi, Abderrahim"," Mohammed V University, Rabat, Morocco",Rabat,mohammed 5 university,120
35796965900,"Bennis, Hamid"," Moulay Ismail University, Meknes, Morocco",Meknès,moulay ismail university,137
57193220707,"Kissayi, Khadija","National School of Forestry, Department of Forest Development, B.P. 511, Avenue Moulay Youssef, Tabriquet, Salé, 11 000, Morocco",Salé,,
7801522957,"Rohi, Latifa"," University Hassan II, Faculty of Sciences Ben M’sik, Laboratory of ecology and environment, Avenue Driss El Harti, B.P. 7955, Casablanca, 20 800, Morocco",Casablanca,university hassan 2,53
6507539407,"Bouzahzah, Mohamed","Economics and Management Department Mohammed V University in Rabat, United Nations avenue, Agdal, Rabat, 8007, Morocco",Rabat,mohammed 5 university,120
57216459582,"Hmamou, Mhamed","University Mohamed V, Faculty of Science, Ibn Batouta Avenue, Rabat, Morocco",Rabat,faculty of science,125
57224935927,"Maarouf, Fatima"," University Mohamed V, Faculty of Science, Ibn Batouta Avenue, Rabat, Morocco",Rabat,faculty of science,125
57215383727,"Aoullay, Zineb","Laboratory of Pharmacology and Toxicology, Faculty of Medicine and Pharmacy of Rabat, Mohammed V University Rabat, Rabat, Morocco",Rabat,faculty of medicine and pharmacy,126
56083675400,"Slaoui, Meriem"," Faculty of Medicine and Pharmacy of Rabat, Mohammed V University Rabat, Rabat, Morocco",Rabat,faculty of medicine and pharmacy,126
36106472700,"Razine, Rachid"," Laboratory of Biostatistics, Epidemiology and Clinical Research, Mohammed V University-Souissi, Faculty of Medicine and Pharmacy of Rabat, Rabat, Morocco",Rabat,faculty of medicine and pharmacy,126
15069355800,"Meddah, Bouchra"," Department of Public Health, Mohammed V University-Souissi, Faculty of Medicine and Pharmacy of Rabat, Rabat, Morocco",Rabat,faculty of medicine and pharmacy,126
