id,Affiliation,Abbreviation,University,City,Affiliation En Name
131,Faculté des Sciences de l'Education ,FSE ,Université Mohammed V,Rabat,Faculty of Educational Sciences
132,Ecole Normale Supérieure ,ENS ,Université Mohammed V,Rabat,Higher Normal School
133,Ecole Supérieure de Technologie ,EST ,Université Mohammed V,Salé,Higher School of Technology
134,Institut Scientifique ,IS ,Université Mohammed V,Rabat,Scientific Institute
135,Institut d'Etudes et de Recherches pour l'Arabisation ,IERA ,Université Mohammed V,Rabat,Institute of Studies and Research for Arabization
136,"Institut Universitaire des Etudes Africaines, Euro-méditerranéennes et Ibero-américaines",IUEAMIA ,Université Mohammed V,Rabat,"University Institute of African, Euro-Mediterranean and Ibero-American Studies"
137,Université Moulay Ismail,UMI,Université Moulay Ismail,Meknès,Moulay Ismail University
138,"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Moulay Ismail,Meknès,"Faculty of Legal, Economic and Social Sciences"
139,Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Moulay Ismail,Meknès,Faculty of Letters and Humanities
140,Faculté des Sciences ,FS ,Université Moulay Ismail,Meknès,Faculty of Sciences
141,Faculté Polydisciplinaire ,FP ,Université Moulay Ismail,Errachidia,Multidisciplinary Faculty
142,Faculté des Sciences et Techniques ,FST ,Université Moulay Ismail,Errachidia,Faculty of Sciences and Techniques
143,Faculté de Médecine et Pharmacie ,FMP ,Université Moulay Ismail,Errachidia,Faculté de Médecine et Pharmacie
144,Ecole Nationale Supérieure des Arts et Métiers ,ENSAM ,Université Moulay Ismail,Meknès,National Higher School of Arts and Crafts
145,Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Moulay Ismail,Meknès,National School of Commerce and Management
146,Ecole Normale Supérieure ,ENS ,Université Moulay Ismail,Meknès,Higher Normal School
147,Ecole Supérieure de Technologie ,EST ,Université Moulay Ismail,Meknès,Higher School of Technology
148,Université Sidi Mohamed Ben Abdellah,USMBA,Université Sidi Mohamed Ben Abdellah ,Fès,Sidi Mohamed Ben Abdellah University
149,Faculté Chariâa ,Faculté Chariâa ,Université Sidi Mohamed Ben Abdellah,Fès,Faculty of Islamic Law (Sharia)
150,"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Sidi Mohamed Ben Abdellah,Fès,"Faculty of Legal, Economic and Social Sciences"
151,Faculté des Lettres et des Sciences Humaines Dhar El Mahraz ,FLSH Dhar El Mahraz ,Université Sidi Mohamed Ben Abdellah,Fès,Faculté des Lettres et des Sciences Humaines Dhar El Mahraz
152,Faculté des Lettres et des Sciences Humaines Sais ,FLSH Sais ,Université Sidi Mohamed Ben Abdellah,Fès,Faculté des Lettres et des Sciences Humaines Sais
153,Faculté des Sciences Dhar El Mahraz ,FS Dhar El Mahraz ,Université Sidi Mohamed Ben Abdellah,Fès,Faculté des Sciences Dhar El Mahraz
154,Faculté Polydisciplinaire ,FP ,Université Sidi Mohamed Ben Abdellah,Taza,Multidisciplinary Faculty
155,Faculté des Sciences et Techniques Sais ,FST Sais ,Université Sidi Mohamed Ben Abdellah,Fès,Faculté des Sciences et Techniques Sais
156,"Faculté de Médecine, de Pharmacie et de Médecine Dentaire ",FMPMD ,Université Sidi Mohamed Ben Abdellah,Fès,"Faculté de Médecine, de Pharmacie et de Médecine Dentaire"
157,Ecole Nationale des Sciences Appliquées ,ENSA Fès,Université Sidi Mohamed Ben Abdellah,Fès,National School of Applied Sciences
158,Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Sidi Mohamed Ben Abdellah,Fès,National School of Commerce and Management
159,Ecole Normale Supérieure ,ENS ,Université Sidi Mohamed Ben Abdellah,Fès,Higher Normal School
160,Ecole Supérieure de Technologie ,EST ,Université Sidi Mohamed Ben Abdellah,Fès,Higher School of Technology
161,Institut des Sciences de Sport ,ISS ,Université Sidi Mohamed Ben Abdellah,Fès,Institut des Sciences de Sport
